Source,Updated,Provider,Organization_Name,Location_Address,Location_Directions,Longitude,Latitude,Email,Phone,Website,Location_Services
The Gardens Network,2023,Community Garden,Brittingham Community Garden,"43.06462,-89.3962669","https://www.google.com/maps/dir//43.06462,-89.3962669",-89.3963,43.06462,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","Approximately 28 plots that are 10�20 feet in area each. For more information contact Tom Wilson at brittinghamgardens@gmail.com or (608) 509-4665. Hay aproximadamente 28 parcelas que tienen 10×20 pies de área cada una. Para obtener más información, comuníquese con Tom Wilson en brittinghamgardens@gmail.com o al (608) 509-4665."
The Gardens Network,2023,Community Garden,Marlborough Park,"43.03093,-89.4501471","https://www.google.com/maps/dir//43.03093,-89.4501471",-89.4501,43.03093,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","Website: https://sites.google.com/view/marlborough-community-garden/home<br>This large garden provides over 160 plots with both till and no-till sections. For more information or to register for a community garden plot, contact Percy Mather at (608) 233-1955 or email marlboroughgarden@gmail.com. Para información en español, llame a Olga al 608 520-9274.<br><br>Este gran huerto ofrece más de 160 parcelas con secciones con y sin labranza. Para obtener más información o para inscribirse a el huerto comunitario, comuníquese con Percy Mather al (608) 233-1955 o envíe un correo electrónico a marlboroughgarden@gmail.com. Para obtener información en español, llame a Olga al 608 520-9274."
The Gardens Network,2023,Community Garden,East Madison,"43.11875,-89.3274736","https://www.google.com/maps/dir//43.11875,-89.3274736",-89.3275,43.11875,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","Located at 8 Straubel Court, northwest of the intersection of Straubel Street and Rowland Avenue on land adjacent to the East Madison Community Center (Anderson St./MATC area).<br>This eastside garden offers 30 plots for community members and also includes a children’s garden that provides programming for the youth at East Madison Community Center. For more information or to register for a community garden plot, contact Veronica at vcastillo@eastmadisoncc.org.<br><br>Situado en 8 Straubel Court, al noroeste de la intersección de la calle Straubel y la avenida Rowland, en terreno adyacente al centro comunitario East Madison Community Center (área de Anderson St./MATC).<br>Este huerto ofrece 30 parcelas para miembros de la comunidad y también incluye un huerrto para niños que brinda programación para los jóvenes en el Centro Comunitario de East Madison. Para obtener más información o para registrarse en una parcela comunitaria, contacte a Veronica por vcastillo@eastmadisoncc.org."
The Gardens Network,2023,Community Garden,Reindahl,"43.1237,-89.319191","https://www.google.com/maps/dir//43.1237,-89.319191",-89.3192,43.1237,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed",Located at 1818 Portage Road (on the south edge of Reindahl Park).<br>reindahlgardens.com<br>This garden has 140 tilled gardens and 120 no-till plots. Mailing address being Reindahl Community Gardens P.O box 3425 Madison WI 53704. Garden registration begins in February for the previous year's gardeners and is open to new gardeners in April. Contact reindahlcommunitygardens@gmail.com for more information. Ubicado en 1818 Portage Road (en el borde sur del Parque Reindahl).<br>reindahlgardens.com<br>Este huerto cuenta con 140 jardines y 120 parcelas sin labranza. La dirección postal es Reindahl Community Gardens P.O box 3425 Madison WI 53704. El registro de huertos comienza en febrero para los jardineros del año anterior y está abierto a nuevos jardineros en abril. Póngase en contacto con reindahlcommunitygardens@gmail.com para obtener más información.
The Gardens Network,2023,Community Garden,Black Hawk Middle School,"43.14734,-89.3684149","https://www.google.com/maps/dir//43.14734,-89.3684149",-89.3684,43.14734,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","1402 Wyoming Way, behind Black Hawk/Gompers, along Wheeler Road.<br><br>The Growing Together School and Community Garden at Black Hawk Middle School was a 2011 Project Orange Thumb garden makeover recipient, a collaboration between Fiskars Brands, Inc., Community Action Coalition, Madison Metropolitan School District, and The Home Depot Foundation. The garden provides 44 plots 10’ x 20’ for community gardening. For more information or to register for a community garden plot, contact the garden registrar at gardenregistrar@gmail.com or 608-698-0577 to be added to the waitlist.<br><br>El Growing Together School y Community Garden en Black Hawk Middle School recibió un premio de remodelación del proyecto Garden Orange en el año de 2011, una colaboración entre Fiskars Brands, Inc., Community Action Coalition, el Distrito Escolar Metropolitano de Madison y The Home Depot Foundation. El herto ofrece 36 parcelas de 10 ’x 20’ para jardinería comunitaria y un huerto grande para los estudiantes. Para obtener más información o para registrarse en el jardín comunitario, comuníquese con el registrador de jardines al gardenregistrar@gmail.com o 608-698-0577 para agregarse a la lista de espera."
The Gardens Network,2023,Community Garden,Lindbergh Elementary,"43.14252,-89.3884993","https://www.google.com/maps/dir//43.14252,-89.3884993",-89.3885,43.14252,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","4500 Kennedy Road, behind Lindbergh Elementary School.<br>Lindbergh School Community Garden was developed in 2010 and combines 20 10’x20′ family plot rental gardens with a school garden. For more information or to register for a community garden plot, contact Yimmuaj Yang at yang.yimmuaj@gmail.com.<br><br>El huerto comunitario de Lindbergh School se desarrolló en 2010 y combina 20 jardines de alquiler de parcelas familiares de 10 x 20 ′ con un huerto escolar. Para obtener más información o para inscribirse en un jardín comunitario, comuníquese con Yimmuaj Yang en yang.yimmuaj@gmail.com."
The Gardens Network,2023,Community Garden,Troy Community Garden,"43.13444,-89.3902588","https://www.google.com/maps/dir//43.13444,-89.3902588",-89.3903,43.13444,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","North of the 500 block of Troy Drive.<br>communitygroundworks.org<br>This is a very large garden with 327 plots. For more information or to register for a garden plot, contact the registrar at troy53704@gmail.com or (608) 313-5188. Registration is usually the first Saturday in March at Lakeview Lutheran Church. Este es un huerto muy grande con 327 parcelas. Para obtener más información o para registrarse a una parcela de jardín, póngase en contacto con el registrador en troy53704@gmail.com o (608) 313-5188. La inscripción suele ser el primer sábado de marzo en la Iglesia Luterana Lakeview."
The Gardens Network,2023,Community Garden,City Row Apartments,"43.0815,-89.380914","https://www.google.com/maps/dir//43.0815,-89.380914",-89.3809,43.0815,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","626 E. Johnson St., behind the apartment complex.City Row Apartments offers 24 raised garden beds for use by residents of City Row Apartments only. Residents may sign up for a plot at any time, though they usually first have to join a waiting list. For more information about these spaces, contact (608) 250-2551. City Row Apartments ofrece 24 camas elevadas de jardín para uso exclusivo para los residentes de City Row Apartments. Los residentes pueden inscribirse en una parcela en cualquier momento, aunque por lo general primero tienen que unirse a una lista de espera. Para obtener más información sobre estos espacios, comuníquese al (608) 250-2551."
The Gardens Network,2023,Community Garden,Crowley Station,"43.07533,-89.3770194","https://www.google.com/maps/dir//43.07533,-89.3770194",-89.377,43.07533,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","201 S. Hancock Street, at the corner of E. Wilson.<br>crowleystationgarden.org<br>Crowley Station is a garden centrally located in downtown Madison with a view of Lake Monona. It’s a collection of raised beds on top of the concrete platform that surrounds city well #17. Plots are available in two sizes and are smaller than at many other gardens, which makes it the perfect location for new gardeners and busy downtowners. One plot is used as an educational space, with the harvest donated to the Grace Episcopal Church Food Pantry. For more information, visit the website or email CrowleyStationGarden@gmail.com. Crowley Station es un huerto ubicado en el centro de Madison con vista al lago Monona. Es una colección de camas elevadas sobre una plataforma de concreto que rodea el pozo número 17 de la ciudad. Las parcelas están disponibles en dos tamaños y son más pequeñas que en muchos otros jardines, lo cual lo convierte en el lugar perfecto para los nuevos jardineros y aquellos ocupados de la ciudad. Una parcela se utiliza como un espacio educativo, con la cosecha donada a la Despensa de Alimentos de la Iglesia Episcopal Grace. Para obtener más información, visite el sitio web o envíe un correo electrónico a CrowleyStationGarden@gmail.com."
The Gardens Network,2023,Community Garden,Reynolds,"43.08038,-89.3789935","https://www.google.com/maps/dir//43.08038,-89.3789935",-89.379,43.08038,"In Location Services, if listed","In Location Services, if listed","In Location Services, if listed","634 East Mifflin Street, between Blount and Blair Streets.<br>Reynolds Homestead Community Garden is a very small garden with twenty-six 8’x10′ plots, 1 wheelchair-accessible raised bed and strict maintenance rules due to its nestled urban setting. For more information or to register, contact Steve Maerz at sjmaerz@gmail.com. <br><br>Reynolds Homestead Community Garden es un huerto muy pequeño con veintiséis parcelas de 8 ’x10 ′, una cama elevada con acceso para sillas de ruedas. Tenemos estrictas reglas de mantenimiento debido a que sea una vecindad urbana. Para obtener más información o para registrarse, comuníquese con Steve Maerz en sjmaerz@gmail.com."
